Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0,0.0,0.0,0.0,3.0,542.0,0.0,0.033333333,0.0,0.0,May,3.0,2.0,3.0,3.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Dec,2.0,2.0,4.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.002916286,0.0,0.0,Dec,2.0,2.0,1.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.033333333,0.0,0.0,May,2.0,2.0,6.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,35.0,776.25,0.0,0.028571429,0.0,0.0,Nov,2.0,2.0,3.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,907.2,0.0,0.2,0.0,0.0,May,3.0,2.0,1.0,1.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.02,0.0,0.0,Nov,2.0,2.0,1.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,37.0,0.003333333,0.011111111,0.0,0.0,Dec,3.0,2.0,1.0,3.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,42.0,586.5,0.006666667,0.011111111,0.0,0.0,May,3.0,2.0,4.0,3.0,New_Visitor,False,False
0.0,0.0,0.0,0.0,25.0,681.8333333,0.0,0.032577778,0.0,0.0,May,2.0,2.0,3.0,13.0,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,2.0,1210.052857,0.0,0.014285714,0.0,0.0,Dec,2.0,2.0,1.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.025,0.0,0.0,Nov,3.0,2.0,5.0,4.0,Returning_Visitor,False,False
2.0,0.0,0.0,0.0,30.0,0.0,0.0,0.033333333,0.0,0.0,Sep,2.0,2.0,1.0,2.0,Returning_Visitor,False,False
5.0,115.5,0.0,0.0,17.0,2184.098477,0.0,0.01090909,0.0,0.0,May,2.0,2.0,1.0,4.0,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,14.0,463.0,0.0,0.2,0.0,0.2,May,2.0,2.0,6.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,28.0,587.0,0.0,0.02110187,0.0,0.0,Dec,2.0,2.0,3.0,8.0,Returning_Visitor,False,True
4.0,34.5,0.0,0.0,10.0,605.0,0.016666667,0.016666667,0.0,0.8,May,1.0,1.0,1.0,1.0,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.00766364,0.0,0.0,May,2.0,2.0,1.0,4.0,Returning_Visitor,False,False
