Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2011-03-23,Woomera,21.7,32.7,0.0,1.8,3.5,W,72.0,ENE,WNW,15.0,26.0,70.0,60.0,1022.7,1021.9,1.0,1.0,23.1,28.3,No,No
2015-04-16,Melbourne,7.9,14.1,0.0,,,W,37.0,,WSW,22.0,26.0,92.0,52.0,1014.6,1012.1,,,9.3,13.2,No,No
2009-02-16,Launceston,19.8,29.6,0.0,,,N,46.0,NNW,N,0.0,0.0,66.0,68.0,1011.2,1013.7,8.0,8.0,22.6,28.6,No,No
2014-11-16,Bendigo,13.2,22.6,0.0,10.6,,N,46.0,N,N,0.0,0.0,50.0,42.0,1028.4,1016.9,,,19.9,22.9,No,No
2015-06-09,Perth,16.2,24.5,0.0,,,SE,44.0,SW,SE,11.0,17.0,65.0,65.0,1025.7,1027.4,,,22.9,24.8,No,No
2011-12-09,Richmond,21.1,22.9,0.0,7.7,10.9,NNW,50.0,NNE,N,20.0,20.0,70.0,55.0,1013.8,1014.9,8.0,8.0,22.8,24.3,No,No
2009-09-17,Albury,9.3,16.7,6.6,4.3,5.4,WNW,48.0,W,W,4.0,17.0,63.0,33.0,1010.5,1019.8,7.0,5.0,13.0,14.4,No,No
2016-06-26,Cobar,12.0,16.7,0.2,,,NNW,56.0,N,N,15.0,17.0,62.0,53.0,1010.0,1015.4,,,11.7,13.7,No,No
2010-05-23,Wollongong,16.3,25.6,0.0,,,N,31.0,NNW,NNW,20.0,17.0,56.0,45.0,1014.1,1018.0,,,23.4,23.7,No,No
2009-01-12,Adelaide,22.8,38.5,0.0,,,W,40.0,N,,17.0,26.0,84.0,59.0,1009.8,1009.9,,,30.9,37.3,No,No
2011-10-04,MountGambier,13.4,24.2,0.0,8.2,6.7,SE,44.0,SE,ESE,20.0,20.0,63.0,46.0,1011.7,1013.7,,,20.3,22.7,No,Yes
2015-11-23,Cairns,13.0,14.8,0.0,,,SW,37.0,SW,SW,9.0,9.0,77.0,59.0,1007.0,1012.6,,,10.0,14.0,No,No
2013-02-18,Richmond,12.3,28.0,0.0,3.4,8.5,NW,26.0,WNW,NNW,7.0,15.0,46.0,44.0,1020.7,1020.9,1.0,1.0,22.8,25.0,No,No
2016-11-16,Dartmoor,13.0,19.8,0.2,,,W,61.0,WSW,W,11.0,20.0,77.0,76.0,1017.6,1018.0,,,17.3,19.0,No,No
2014-01-20,Albany,9.4,22.9,0.0,,,WNW,44.0,NNW,NW,22.0,26.0,97.0,94.0,1019.3,1014.8,7.0,3.0,15.0,20.3,No,No
2014-11-07,Woomera,13.2,24.5,0.0,,,ESE,44.0,NW,NNE,9.0,15.0,68.0,46.0,1017.9,1016.7,1.0,1.0,19.1,23.7,Yes,Yes
2009-01-27,Richmond,14.3,26.9,0.0,4.2,4.4,W,31.0,SE,SW,6.0,15.0,65.0,70.0,1018.0,1012.5,6.0,4.0,16.1,24.8,No,No
2014-11-01,Hobart,14.3,19.6,0.0,,,NW,,,NW,15.0,9.0,64.0,32.0,1012.8,1019.5,,,18.0,18.0,No,No
2009-11-30,Canberra,24.2,27.4,0.4,1.8,0.0,N,44.0,N,N,11.0,22.0,88.0,28.0,1021.5,1013.5,7.0,7.0,23.2,23.7,No,No
2015-08-30,Portland,8.2,15.7,0.0,,,SSW,54.0,NNW,SW,11.0,4.0,72.0,71.0,1016.3,1014.3,8.0,6.0,10.3,13.7,No,No
2015-10-17,PearceRAAF,30.0,30.0,0.0,,,,,WNW,ENE,,,,66.0,,,,,23.0,32.5,No,No
2011-01-01,Penrith,11.3,15.9,0.0,,,ESE,39.0,E,ENE,11.0,13.0,99.0,53.0,,,,,17.5,15.9,No,No
