game_id,rated,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_code,opening_moves,opening_fullname,opening_shortname,opening_response,opening_variation
2235.0,True,31.0,Resign,Black,7+5,romanov,1631.0,thecrazy,1789.0,d4 d5 c3 Nf6 e3 e5 Nc3 Nf6 O-O O-O Bd6 e4 Nf3 Nbd7 Bd3 a6 Bb3 Ne7 Nf5 Nxe5 Nxe5 Nd,C55,2.0,Sicilian Defense: Symmetrical Variation,Sicilian Defense,,Symmetrical Variation
2104.0,True,44.0,Resign,Black,8+0,cory_chicken,1542.0,williamjr,1582.0,d4 c5 e3 e6 Nf3 Nf6 Bg5 h3 Bg5 Nbd2 O-O Nd2 c3 Bxc3 dxc3 Bxc3 dxc3 O-O Nd2 Nxd2 Nxd1 cxd,D04,1.0,Sicilian Defense: Anti-Fried Liver Defense,Sicilian Defense,,Anti-Fried Liver Defense
1516.0,True,39.0,Resign,Black,10+0,bry_m_g,1488.0,the_shined_shiner,1532.0,d4 exd4 Nf6 e3 c6 Bg5 h3 Nf6 d5 exd5 Nxe3 Nxe3 Qe7 Bg5 O-O-O O,B11,1.0,Caro-Kann Defense: #2,Caro-Kann Defense,,#2
17949.0,True,1.0,Resign,Black,10+0,marcel,1281.0,mrm8,1221.0,e4 e5 Nf3 Nc6 Nc3 d6 d4 Nf6 Nxe4 Bc4 Nc6 Bf4 g6 Ne2 Nc7 O-O d,C24,2.0,Ruy Lopez: #2,Ruy Lopez,,#2
15007.0,False,56.0,Resign,Black,10+0,alexanderson,1500.0,thedude_moves,1469.0,Nf3 d5 Nc3 e6 e3 a6 d4 Nf6 c3 O-O e5 dxe5 dxe5 Bg4 Be7 e4 Bg7 O-O Nd2 Bxd2 O-O g5 N,B00,4.0,French Defense,French Defense,,Dutch Variation
1607.0,True,54.0,Mate,Black,20+0,kakaroma,1538.0,valkenisch,1365.0,e4 e5 Nf3 Nf6 Bb5 Nc3 d6 Bxc6 Bxc6+ Be2 Nf3 g6 d4 Bg7 d5 Be6 Nd7 Qxd5,B20,4.0,King's English Opening: Mason Attack,King's English Opening,,Mason Attack
611.0,True,63.0,Draw,Draw,10+0,daniel_bordon,1789.0,thegothamist,1591.0,e4 e6 Nf3 Nc6 d4 c5 dxe6 dxe6 Nf3 O-O Nf6 Nd5 cxd5 cxd5 Bb4 Bd7 a3,B20,8.0,Queen's Pawn Game: Saemisch Attack,Queen's Pawn Game,,Saemisch Attack
2248.0,True,89.0,Mate,Black,10+0,danny_v,2093.0,a_manga_variation,2088.0,3,C00,4.0,Scandinavian Defense,Scandinavian Defense,,Modern Line
1310.0,False,74.0,Resign,Black,7+8,ggaff,1603.0,crutch,1500.0,e4 e6 d4 Nh6 Nf3 e6 c4 b6 Bf4 Nd7 Bxc6 Nf3 Qd7 Re1 Nxe4 Qxe4,D02,5.0,Italian Game,Italian Game Opening,,Austrian Defense
15400.0,True,33.0,Resign,White,10+0,ogasm,1520.0,mrtbv,1433.0,e4 c5 Nf3 Nc6 d3 e5 Nc3 d6 Ne5 Bc4 Nf6 c3 b6 e3,C07,9.0,Zukertort Opening: Accelerated Dragon,Zukertort Opening,,Accelerated Dragon
1707.0,True,36.0,Resign,White,5+8,ljibbard,1440.0,mrch,1421.0,e4 c5 Qh5 Bb5 Nf3 Nc6 Bb3 d6 Qb3 Qf6 Nc3 dxe4 dxe4 Nxe4 Bxe4 dxe4 Qa4+ Bd7 Qd3 f6 Qc2 Bg4 Q,C20,6.0,Zukertort Opening,Zukertort Opening,,Lasker-Pelikan Variation
1704.0,True,31.0,Resign,Black,10+5,danielp,1422.0,cakman_makshin,1593.0,d4 d5 c4 c6 Nf3 e6 Nc3 Bg4 Bxc3 Qxc3 Qf5 Nf6 Nc3 Be7 O-O O-O Bg5 Nbd7 Be3 e4 fxe4 Nxd,A40,4.0,Slav Defense: Advance Variation |  Normal Variation,Slav Defense,,King's English Variation
1707.0,True,26.0,Resign,Black,10+3,ncw,1847.0,alexandrundon,1287.0,e4 e5 Nf3 Nc6 Nc3 Nf6 Bc4 Nd3 Bb4 a3 Nc6 Nf3 O-O-O Nd5 Nxd5 exd5 Bxg3+ Kx,B21,8.0,French Defense: Three Knights Variation #3,French Defense,,#3
1306.0,True,31.0,Resign,Black,9+0,kamil_m_kalik_m_m_kalik,1331.0,ade_jax,1380.0,d4 d5 Nf3 e6 c4 e6 Nc3 e6 O-O Na3 dxe6 Nxe6 Qc,D00,2.0,Scandinavian Defense: Normal Variation |  Nyezhmetdinov Variation,Scandinavian Defense,,Normal Variation
1808.0,True,70.0,Mate,White,10+5,jbob-chess,1334.0,maverick,1670.0,Nf3,C30,4.0,Scandinavian Variation,Scandinavian Variation,,Scandinavian Variation
15962.0,True,43.0,Mate,Black,10+0,is sas,1500.0,ganaz,1581.0,e4,C46,7.0,Queen's Pawn Game: Two Knights Defense #2,Queen's Pawn Game,,Two Knights Defense
16255.0,True,48.0,Resign,White,10+0,pooper,1631.0,cvdf,1824.0,e4 c5 d4 Nf6 c4 d5 exd5 Qxd5 Qxd5 Nf3 Nd2 Nc6 Bb5 Qe6+ Nd5 Nf6 Q,B01,1.0,Queen's Gambit Declined: Four Knights Attack,Queen's Gambit,,#4
1089.0,True,16.0,Resign,Black,15+15,alexo_mov,1707.0,edward_mccon,1728.0,e4 e6 d4 Nf3 Nc6 Bc4 c5 a3 d6 Nf3 d5 Na3 Nc6 Be2 Bg4 Bd6 Bc3 O,B21,4.0,Falkbeer Variation: Falkbeer Variation,Caro-Kann Defense,,Falkbeer Variation
4234.0,True,17.0,Resign,White,15+15,daroks,1538.0,aaaaaarok,1612.0,e4 c4 e5 f5 Nf3 Bb4+ Nc3 Bxc3 Bxc3 Qd2+ Kf1 Qb7+ Nb5 Qxb7+ Ke2 Rb1 Qxb7 Nc6 Nd4 N,C50,3.0,Sicilian Defense: Accelerated Move Order,Sicilian Defense,,Accelerated Move Order
908.0,True,20.0,Resign,White,15+8,sassafraj,1653.0,hagaman,1401.0,d4 d5 c3 Nc6 Bf4 e6 Nf3 Nxe6 Nxe6 Nf3 Qd3 Nxe6 Rb1 Qe7 Nf4 Qxe6 Nxe6 Bc4 Bd6 Qd4 Qa4 Bxc4 Bxc4,A04,10.0,Scandinavian Defense: Euwe Attack,Scandinavian Defense,,Euwe Attack
1607.0,True,21.0,Resign,White,10+0,nitty-gritty,1406.0,monsie,1685.0,e4 e5 e6 d4 d5 exd5 Bg5 Nc6 Bxc6 bxc6 Bxb2 a6 Nc3 Be7 a3 b,C41,6.0,Queen's Pawn Game: Queen's Two Knights Variation,Queen's Pawn Game,,Queen's Knight Variation
13891.0,True,56.0,Resign,Black,5+12,nahshish,1581.0,shakti,1500.0,d4 d5 Bf4 e6 e4 e5 Nf3 Nc6 c3 Bb4 Nf6 d3 d5 Bd2 Nbd7 Nc3 Bd6 O-O,A00,5.0,Sicilian Defense: Knight Variation,Sicilian Defense,,Knight Variation
15265.0,True,24.0,Mate,Black,15+0,ahmedmaz,1434.0,aldoc,1428.0,e4 e5 Nf3 Nc6 Bf4 Nxe5 Bxf4 Nxd7+ Qxd7 Nc3+ Kd8 Nc6 O-O,B23,5.0,Scotch Gambit,French Defense,,Scotch Gambit
6894.0,False,85.0,Resign,Black,8+0,nikon,1610.0,hmammaar,1686.0,e4 e5 d4 d6 exd4 Nc6 Bc4 Bxc4 Nf3 b6 O-O Bc5 d5 Qxd5 exd5 Qxd5 Bg5 Nf3 Qxd5 Bg7 Qb3 Nc6,C21,4.0,Sicilian Defense: Three Knights Variation,Sicilian Defense,,Two Knights Defense
11574.0,True,35.0,Mate,White,10+0,jakub_al,1414.0,nitsua,1474.0,d4 d5 c4 e6 d5 cxd5 exd5 Nf3 Bf5 e4 e5 Nc3 Nxd5,C43,6.0,Italian Game: Knight Variation,Italian Game,,Knight Variation
1306.0,True,4.0,Resign,White,10+0,amir_t-chess,1478.0,rpg_m_,1474.0,e4 e5 Nf3 d6 d4 exd4 Bd2 Nf6 dxc4 Nc3 Bg4 Bxg4 h6 h3 Bh5 Qe7 Bb3 Nd5 Nxd5 Nxd5,C60,5.0,Italian Game: Grand Prix Attack,Italian Game,,Grand Prix Attack
1486.0,False,44.0,Resign,Black,10+0,jerry_d,1500.0,dmarsh-t,1645.0,e4 e6 d5 Qd2 Ng4 Bg4 Nf6 Nc1 Bg7 Qd2 Nf3 Qa4 Bg4 h3 O-O-O Be2 Bxf3+ Be3 Bxf3 Qxf3,D00,7.0,French Defense,French Defense,,Italian Variation
5035.0,True,74.0,Resign,White,10+0,chessmaster,1123.0,vvvvvvvvvvvvv,1123.0,d4 d5 Nf6 Bc4 e6 Bc5 O-O e3 Nc3 Nf3 Bg4 g,B20,2.0,French Defense: Arctic Defense |  Four Knights Variation,French Defense,,Arctic Defense
6128.0,True,31.0,Resign,White,15+0,rick_murdart,1919.0,chessmaster_jr,1902.0,e4 c5 Nf3 Nc6 Bc4 d5 d4 dxd4 Nxd4 Nf6 Be2 Nc5 Bb5 O-O Ne5 Bd2 Bxd2,C20,3.0,Sicilian Defense: Queen's Gambit Invitation,Sicilian Defense,,Queen's Gambit Invitation
17446.0,False,39.0,Resign,White,15+15,jmahrim,1500.0,kotan,1236.0,d4 d5 Nf3 e6 e3 f5 Bf4 g6 O-O Bc4 Bd7 Bg2 h6 Bh4 Bg5 Bxf6 B,C41,3.0,Sicilian Defense: Maroczy Defense,Sicilian Defense,,Maroczy Defense
2860.0,True,52.0,Resign,Black,10+0,chessmaster-chess,1734.0,vladimir-chess,1559.0,e4 e5 Nf3 d6 Nf3 d5 exd5 Nxd5 Nxd5 Nc3 Qf6 Bc4 Bb5+ Nc6 Bb3 Qd4 Bc5 N,C45,6.0,Sicilian Defense: Cochrane Gambit,Sicilian Defense,,Cochrane Gambit
12893.0,True,40.0,Mate,Black,10+0,nagli-chess,1617.0,nagli-chess,1681.0,e4 c5 Nc3 d6 Nf3 d4 exd4 cxd4 Qxd4 Nc6 Bd3 Nf6 Bc4 Nc7 Bb5 Nd7 g3 O-O Bg5 Nh,B07,4.0,Italian Game: Classical Variation,Italian Game,,Classical Variation
1810.0,False,53.0,Resign,Black,10+0,alexa12301,1398.0,dumac,1396.0,e4 e5 Nf3 Nc6 Bc4 Nf6 Bc5 Nc3 O-O Be7 b3 Nf6 Bd3 O-O d5 Nxd4 Qxd4 Nxd4 Qxd4 Nd,C55,5.0,Sicilian Defense: Exchange Variation,Sicilian Defense,,Exchange Variation
9193.0,True,38.0,Resign,White,10+0,yanga,1876.0,mr_mangal,1674.0,e4 e5 Nf3 Nc6 d4 Nc3 Bb4 Qg3 d5 Bxf3 Be7 O-O O-O Bxf3 Nxf3 Nxf3 d4 exd4 K,C44,2.0,Scandinavian Defense,Scandinavian Defense,,Morphy Defense
7059.0,True,44.0,Mate,Black,10+0,pamilov,1471.0,vladimir_moves,1365.0,3,A00,2.0,Philidor Defense: Normal Variation,Philidor Defense,,Normal Variation
1387.0,True,49.0,Resign,White,10+0,kalam_brah,1402.0,kapal_k,1414.0,e4 e5 d4 d5 exd4 Nf6 Nc3 O-O c6 c3 Nf5 Be3 Nxf5 exf5 Qf1 Nh4 Bf4 f6 g3 Qe6 h3 Bg5 Qc2 Q,C00,3.0,Queen's Pawn Game,Queen's Pawn Game,,Bowdler Attack
1532.0,True,43.0,Resign,Black,15+3,chesswithcarlowjester,1273.0,abcg,1497.0,e3 e6 d4 d6 Nc3 Nf6 Bc4 Nc6 Bb5 Nxe5,C42,1.0,French Defense: Exchange Variation #2,French Defense,,Exchange Variation #2
6927.0,True,74.0,Mate,White,10+0,konstantin_de,1411.0,juanis,1459.0,e4 e5 d3 Nc6 Nf3 Nc3 Nf6 Bb5 Bd7 O-O Nc6 h3 Be7 Bd3 Bb5 O-O Bc4 Nd2 O-,C60,2.0,Sicilian Defense: #2,Sicilian Defense,,#2
15782.0,True,47.0,Resign,Black,10+0,vladimir-r-d-e-s-s-e-s-e-vladimir-d-e-s-e-e-s-e-d-t,1500.0,antony,1798.0,e4 c5 c3 Nf6 Nc3 d5 d4 exd4 b6 Bh3 N,B17,4.0,French Defense: Dragon Variation,French Defense,,Dragon Variation
10600.0,True,56.0,Resign,White,5+0,alex_rgambit,1456.0,jeremy_of_jerry,1849.0,e4 e5 Nf3 d6 d4 e5 Nc3 d6 Nc3 Bc5 Nf3 Nf6 ex,A12,2.0,Queen's Pawn Game,Queen's Pawn Game,,Rosenthal Variation
504.0,True,40.0,Resign,Black,15+0,nisham,1448.0,nikkamani,1622.0,e4 e5 Nf3 Nc6 Bc4 d6 Nc3 dxc3 d5 Nb3 Bb4,D28,3.0,Italian Game: Larsen Variation |  Gruenfeld Variation,Italian Game,,Larsen Variation
15707.0,True,51.0,Resign,White,20+2,dolom,1813.0,kotra,1730.0,e4 Nf6 Nc3 d5 e,B20,4.0,King's Pawn Game: McConnell Defense,King's Pawn Game,,McConnell Defense
14300.0,True,20.0,Resign,Black,15+0,luvan,1548.0,nikolas-sarpala,1597.0,e4 e5 Nf3 Nc6 Nc3 Nf6 Nxe4 dxe4 Bd3 Nf6 Bxd3 Qxd3 d5 exd5 Nxd5 Q,B27,4.0,Queen's Knight Defense: Giuoco Pianissimo |  Normal Variation,Queen's Knight Defense,,Giuoco Pianissimo
16055.0,True,51.0,Mate,White,15+15,corkbutt,1534.0,adalem,1612.0,e4 e5 Nf3 Nc6 Nc3 Nf6 Bc4 d5 exd5 exd5 Bxd5 cxd5 Bd3 a6 a3 Bg4 Nc3 h6 Bh4 Nd5 c6 Be3 Nxd,D00,5.0,French Defense: Three Knights Game #2,French Defense,,#2
7018.0,True,71.0,Resign,Black,5+5,mrwiltevers,1307.0,jimmy,1401.0,e4 c6 d4 d6 d5 c4 dxc4 Bc5 Nf3 O-O Nc6 Bc4 Nf6 Be2 Bd7 f4,A04,2.0,Sicilian Defense: Bonet Gambit,Sicilian Defense,,Bonet Gambit
1579.0,False,45.0,Resign,Black,15+15,mikael_mikolov,1832.0,cr_syd,1838.0,e4 e6 d4 d6 Bc4 Nf6 Nc3 c5 dxe4 exd4 Nxe4 Qh5 Qd6 O-O Bb4 N,D00,3.0,King's English Opening: Classical Variation,King's English Opening,,Classical Variation
1701.0,True,71.0,Resign,White,7+0,mstlouisz,1882.0,ek,1851.0,Nf3,C20,4.0,Italian Game,Italian Game,,Classical Variation
896.0,True,37.0,Mate,White,10+0,paulis,1633.0,yamil,1699.0,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 d6 d4 Nge7 Nf6 Bd3 Nf6 Nh4 O-O Nxe5,D06,3.0,London System,London System,,London System
