GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
5458.0,5.0,18,6,500,117.0708,0.01671569,0.0006367786,7.0,0.0001552952,0.0007226854,0.0034131294,38.6,78.4236,4.9762,24.0,0.0013109,7.0,0.0001307519,9e-05
3398.0,4.0,23,8,300,71.908,0.0044132434,0.000552285,4.0,0.0,0.0003028785,0.0028353077,34.7992,71.9105,6.8293,29.0,0.00071183,7.0,0.000229575,1e-05
6046.0,5.0,21,24,750,74.2912,0.0014982479,0.00176926,1.0,1.0994730961467e-05,0.0003667778,0.0036677769,62.7885,59.3412,4.5958,25.0,0.00067772,7.0,0.0,0.0
2921.0,4.0,21,30,2200,147.5272,0.0036358636,0.000427599,3.0,0.000372698,0.000363586,0.0049753599,20.7288,76.5874,4.4236,28.0,0.00238914,8.0,0.000287865,0.00075
7265.0,6.0,24,4,300,108.1668,0.0003389774,0.0005856241,3.0,0.0,0.000595598,0.0035782619,32.4846,65.2318,3.7111,8.0,0.0,4.0,0.000153919,0.0
595.0,5.0,19,12,3000,74.9773,0.0105636539,0.0003619231,3.0,0.0,0.0001888093,0.0014121682,23.5,63.543,7.9265,22.0,0.00082267,6.0,0.0,0.00119
856.0,3.0,26,20,600,85.0284,0.0011661862,0.0004416571,5.0,0.0,0.0002949372,0.0029398838,36.8124,54.6,4.9103,27.0,0.001206,6.0,0.0,0.00033
706.0,5.0,19,8,1000,80.6455,0.00358827,0.000304468,4.0,0.0,0.0003464164,0.0036231848,54.8148,57.1147,5.4122,10.0,0.001489,9.0,0.0,0.0
541.0,2.0,20,28,500,57.7368,0.0020643343,0.000273396,5.0,0.000178829,0.0002569003,0.0049697843,36.2052,54.6154,4.7692,14.0,0.00065774,6.0,0.00361278,0.00016
7072.0,3.0,17,10,1500,91.48,0.0031174789,0.000243047,1.0,0.0,0.000306526,0.0028952717,69.1444,59.0,5.929,20.0,0.0016129,5.0,0.0,3e-05
3288.0,5.0,20,14,600,111.4646,0.00121615861,0.000345579,0.0,0.000190637,0.0002023458,0.0027586973,38.6911,80.1666,4.0,25.0,0.0004398,11.0,0.0,0.0
604.0,5.0,19,24,400,93.8108,0.0012592366,0.0002566391,4.0,0.0,0.000581345,0.002918556,35.9676,57.5234,4.906,17.0,0.0011129,6.0,0.00094869,0.0
4356.0,6.0,16,20,150,75.7522,0.01791854,0.0002914861,4.0,0.00010005701,0.0005640098,0.0030332791,37.6767,69.934,3.3272,18.0,0.00082284,6.0,0.0,0.00015
