Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
Female,19.0,1.68,80.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Frequently,Public_Transportation,Overweight_Level_I
Male,23.0,1.893732,129.754763,yes,yes,2.336486,1.848168,Sometimes,no,2.0,no,0.0,1.880194,no,Public_Transportation,Obesity_Type_II
Female,25.0,1.87,75.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Overweight_Level_I
Female,32.0,1.6,133.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_II
Female,21.0,1.6,58.0,yes,yes,2.0,2.0,Sometimes,yes,3.0,no,1.0,0.0,Frequently,Public_Transportation,Normal_Weight
Female,21.906508,1.603868,114.271214,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,18.0,1.859091,78.717381,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.702743,Frequently,Public_Transportation,Obesity_Type_I
Female,20.844787,1.784924,67.2626,no,yes,2.0,1.0,Sometimes,no,2.0,no,2.756597,0.0,Sometimes,Public_Transportation,Normal_Weight
Male,37.0,1.62,133.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,19.0,1.7,80.0,no,yes,1.0,2.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,20.0,1.6,66.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_II
Female,22.0,1.78,105.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II
Female,23.0,1.7,117.0,yes,yes,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Frequently,Automobile,Obesity_Type_III
Male,31.0,1.6,62.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
Male,18.0,1.784323,120.947441,yes,yes,2.0,3.0,Sometimes,no,1.937863,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_II
Female,18.0,1.762217,51.0,yes,yes,2.0,2.0,Frequently,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Insufficient_Weight
Female,17.0,1.6,83.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
Female,21.92698,1.846122,120.868751,yes,yes,2.0,1.595718,Sometimes,no,2.638122,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_II
Female,19.0,1.6,66.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,0.0,no,Public_Transportation,Overweight_Level_II
Male,29.0,1.62,121.0,yes,yes,3.0,3.0,Sometimes,no,3.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,25.0,1.63,53.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
Female,20.0,1.65,101.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,18.0,1.57,102.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,26.0,1.65,108.0,no,yes,3.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,23.993368,1.772401,77.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Insufficient_Weight
Female,18.0,1.65,77.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
Female,24.0,1.65,80.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,1.0,Sometimes,Automobile,Overweight_Level_II
Male,55.0,1.64,111.0,yes,yes,2.0,3.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Walking,Obesity_Type_III
Male,21.0,1.61,80.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
Female,30.0,1.8,89.0,yes,yes,2.0,2.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Obesity_Type_II
Male,20.0,1.682433,49.0,yes,yes,3.0,1.0,Sometimes,no,1.819393,no,0.0,0.896534,Frequently,Public_Transportation,Overweight_Level_I
Male,19.0,1.7,65.0,yes,yes,2.0,1.0,Sometimes,no,1.0,no,3.0,2.0,Sometimes,Public_Transportation,Normal_Weight
Male,18.973504,1.824683,120.71625,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,26.0,1.68,60.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,1.0,0.0,no,Public_Transportation,Insufficient_Weight
Male,21.773523,1.646089,61.96514,yes,yes,2.0,2.737503,Sometimes,no,2.0,no,1.839393,0.0,Sometimes,Public_Transportation,Overweight_Level_II
Female,26.0,1.75,78.0,no,no,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Automobile,Insufficient_Weight
Female,23.0,1.8,98.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Automobile,Normal_Weight
