wconfid,Cooler Fan RPM Speed Percentage ID,Accelerometer x value,Accelerometer y value,Accelerometer z value
opposite configuration,65.0,0.977,0.047,0.008
perpendicular configuration,75.0,0.977,-0.137,-0.133
normal configuration,85.0,1.02,-0.02,-0.355
perpendicular configuration,40.0,1.016,-0.004,-0.117
normal configuration,45.0,0.902,0.066,-0.484
perpendicular configuration,25.0,0.984,-0.039,-0.133
perpendicular configuration,100.0,0.988,0.031,-0.129
perpendicular configuration,75.0,0.957,0.094,-0.152
opposite configuration,65.0,0.977,0.07,-0.109
normal configuration,25.0,0.906,-0.074,-0.355
normal configuration,55.0,0.957,-0.008,-0.117
perpendicular configuration,100.0,1.09,-0.094,-0.316
opposite configuration,75.0,0.977,-0.215,-0.254
opposite configuration,75.0,0.977,-0.012,-0.133
perpendicular configuration,35.0,0.969,-0.051,-0.117
opposite configuration,35.0,0.977,0.078,-0.129
perpendicular configuration,50.0,0.966,0.047,-0.152
perpendicular configuration,80.0,1.027,-0.242,0.02
perpendicular configuration,65.0,0.957,-0.031,-0.051
normal configuration,60.0,0.957,0.023,-0.137
perpendicular configuration,45.0,1.09,0.105,-0.125
perpendicular configuration,30.0,0.984,-0.09,-0.125
normal configuration,90.0,1.062,0.02,-0.141
perpendicular configuration,40.0,0.988,0.078,-0.652
normal configuration,35.0,0.977,-0.094,-0.156
normal configuration,45.0,0.934,0.02,-0.934
normal configuration,100.0,0.977,-0.129,-0.137
normal configuration,25.0,0.98,-0.02,-0.109
opposite configuration,90.0,1.094,0.02,0.723
normal configuration,75.0,1.039,-0.016,-0.121
opposite configuration,50.0,1.0,-0.07,-0.316
normal configuration,25.0,0.996,0.051,0.004
perpendicular configuration,25.0,0.992,0.082,-0.133
opposite configuration,40.0,1.039,0.035,0.039
perpendicular configuration,25.0,0.969,0.027,-0.121
perpendicular configuration,35.0,1.012,0.023,-0.094
opposite configuration,75.0,0.957,0.008,-0.113
normal configuration,70.0,0.973,0.105,-0.09
normal configuration,25.0,0.996,0.031,-0.121
opposite configuration,60.0,0.945,0.074,-0.191
perpendicular configuration,35.0,1.066,0.832,-0.145
perpendicular configuration,20.0,1.086,-0.117,-0.547
normal configuration,95.0,1.023,0.027,-0.117
normal configuration,70.0,0.965,-0.133,-0.535
normal configuration,55.0,0.973,-0.055,-0.434
opposite configuration,35.0,-0.859,-0.016,1.703
perpendicular configuration,80.0,0.977,0.051,-0.141
perpendicular configuration,70.0,0.953,0.082,0.758
perpendicular configuration,80.0,1.012,-0.059,-0.09
perpendicular configuration,95.0,1.0,0.031,-0.152
perpendicular configuration,95.0,0.977,-0.066,-0.094
opposite configuration,100.0,0.953,0.09,-0.125
opposite configuration,40.0,1.066,0.059,-0.133
perpendicular configuration,60.0,0.977,0.055,0.27
normal configuration,20.0,1.027,0.977,-0.129
perpendicular configuration,40.0,0.988,-0.082,-0.156
perpendicular configuration,50.0,1.078,0.016,-0.109
normal configuration,50.0,1.0,-1.078,-0.125
perpendicular configuration,30.0,0.953,-0.02,-0.129
opposite configuration,25.0,0.895,0.105,-0.133
perpendicular configuration,40.0,1.051,0.043,-1.066
normal configuration,55.0,0.953,0.008,-0.09
opposite configuration,75.0,1.027,0.121,-0.258
opposite configuration,75.0,1.07,0.02,-0.262
normal configuration,70.0,1.016,-0.063,-0.105
normal configuration,45.0,1.25,0.547,-0.117
perpendicular configuration,90.0,0.914,-0.039,-0.66
normal configuration,35.0,1.008,0.008,-0.129
perpendicular configuration,100.0,0.91,0.191,-0.742
opposite configuration,40.0,1.016,0.09,-0.137
opposite configuration,95.0,1.09,0.023,-0.117
normal configuration,95.0,1.117,-0.741,-0.109
perpendicular configuration,65.0,1.0,-0.09,-0.141
perpendicular configuration,40.0,0.881,0.051,-1.07
perpendicular configuration,50.0,0.912,-0.043,0.07
normal configuration,40.0,0.988,-0.035,-0.148
perpendicular configuration,90.0,1.066,0.039,-0.141
perpendicular configuration,30.0,0.977,-0.066,0.563
normal configuration,95.0,0.664,-0.098,0.203
normal configuration,85.0,0.105,-0.031,-0.016
perpendicular configuration,50.0,1.008,0.09,-0.508
opposite configuration,60.0,0.965,0.039,-0.141
normal configuration,95.0,1.082,-0.059,0.055
perpendicular configuration,55.0,1.012,-0.086,-0.117
perpendicular configuration,55.0,1.066,-0.098,-0.5
normal configuration,100.0,1.0,0.066,-0.137
opposite configuration,80.0,0.98,0.066,-0.113
normal configuration,50.0,0.977,0.063,-0.109
normal configuration,40.0,1.25,0.043,-1.652
perpendicular configuration,50.0,1.039,0.066,-0.121
normal configuration,70.0,1.023,0.027,0.066
normal configuration,35.0,1.012,-0.012,-0.379
opposite configuration,55.0,0.996,0.027,-0.621
normal configuration,45.0,1.012,0.832,-0.578
perpendicular configuration,50.0,0.965,0.043,-0.113
opposite configuration,35.0,0.969,-0.539,-0.227
normal configuration,50.0,1.066,0.113,-0.117
normal configuration,70.0,1.152,0.02,-0.137
perpendicular configuration,50.0,0.977,0.117,-0.316
normal configuration,35.0,0.977,0.066,-0.113
normal configuration,75.0,0.977,-0.211,-0.109
perpendicular configuration,25.0,1.008,-0.09,-0.117
normal configuration,50.0,0.984,0.059,0.09
opposite configuration,25.0,1.008,-0.07,-0.113
normal configuration,60.0,1.023,0.023,-0.238
normal configuration,80.0,-0.699,-0.078,-0.129
opposite configuration,30.0,1.0,0.098,-0.535
opposite configuration,50.0,0.816,-0.082,-0.117
normal configuration,55.0,0.992,0.043,-0.094
normal configuration,70.0,-1.873,-1.312,-0.125
perpendicular configuration,55.0,1.242,0.0,-0.078
perpendicular configuration,75.0,0.973,0.023,-0.125
perpendicular configuration,35.0,0.98,0.09,-0.398
opposite configuration,35.0,0.988,-0.078,-0.66
perpendicular configuration,70.0,-0.988,-0.094,-0.133
normal configuration,100.0,1.094,0.043,0.105
perpendicular configuration,90.0,1.016,-0.133,-0.078
perpendicular configuration,30.0,1.004,-0.086,-1.098
normal configuration,50.0,0.977,0.0,-0.461
opposite configuration,55.0,1.059,-0.012,0.004
opposite configuration,60.0,0.902,-0.063,0.02
perpendicular configuration,30.0,1.02,0.07,-0.121
normal configuration,25.0,1.074,0.027,-0.137
perpendicular configuration,40.0,0.98,-0.027,-0.094
normal configuration,35.0,0.973,-0.145,-0.195
opposite configuration,85.0,0.743,-0.121,-0.043
perpendicular configuration,25.0,0.75,0.07,-0.23
