Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1.0,1.0,2.0,8014.0,1.0,1.0,131.0,1.0,37.0,38.0,5.0,7.0,130.0,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,13.0,6.0,11.8333333333333,0.0,0.0,6.0,13.0,5.0,11.8333333333333,0.0,11.1,1.4,2.02,Graduate
1.0,1.0,3.0,9853.0,1.0,1.0,133.1,1.0,1.0,19.0,4.0,9.0,137.5,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,14.2857142857142,0.0,0.0,6.0,7.0,5.0,13.6,0.0,16.2,0.6,1.79,Graduate
1.0,17.0,1.0,171.0,1.0,1.0,133.1,1.0,37.0,37.0,9.0,5.0,129.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,7.0,5.0,12.8333333333333,0.0,0.0,5.0,7.0,5.0,10.5,0.0,13.9,-0.3,0.79,Graduate
1.0,1.0,2.0,9991.0,1.0,1.0,141.0,1.0,38.0,19.0,5.0,5.0,122.0,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,10.8,0.5,1.74,Dropout
1.0,1.0,1.0,9556.0,1.0,1.0,128.0,1.0,1.0,19.0,4.0,3.0,128.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
1.0,1.0,1.0,9254.0,1.0,1.0,140.0,1.0,37.0,37.0,9.0,9.0,129.9,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,9.0,5.0,12.6666666666666,0.0,0.0,5.0,10.0,5.0,13.3333333333333,0.0,8.9,1.4,3.51,Graduate
1.0,39.0,3.0,9500.0,1.0,1.0,117.0,1.0,37.0,37.0,7.0,7.0,122.3,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,6.0,7.0,5.0,11.0,0.0,0.0,6.0,7.0,5.0,11.2,0.0,9.4,-0.8,-3.12,Enrolled
1.0,1.0,1.0,9500.0,1.0,1.0,140.0,1.0,1.0,1.0,5.0,5.0,128.5,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,12.0,3.0,11.5,0.0,0.0,6.0,6.0,5.0,13.0,0.0,7.6,2.6,0.32,Enrolled
1.0,1.0,1.0,9147.0,1.0,1.0,131.0,1.0,19.0,19.0,3.0,7.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Graduate
1.0,17.0,2.0,9085.0,1.0,1.0,152.0,1.0,19.0,19.0,4.0,3.0,147.4,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,14.1,0.0,0.0,6.0,6.0,6.0,12.0,0.0,10.8,1.4,1.74,Dropout
1.0,1.0,1.0,9238.0,1.0,1.0,115.0,1.0,1.0,37.0,9.0,9.0,121.4,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,6.0,6.0,6.0,11.8,0.0,0.0,6.0,6.0,6.0,12.8,0.0,12.7,3.7,-1.7,Enrolled
1.0,17.0,1.0,9773.0,1.0,1.0,133.1,1.0,1.0,1.0,2.0,4.0,120.4,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,1.0,13.0,0.0,0.0,6.0,7.0,1.0,11.8,0.0,16.2,0.3,-0.92,Graduate
1.0,1.0,1.0,9147.0,1.0,1.0,110.0,1.0,37.0,37.0,9.0,7.0,124.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,11.0,1.0,0.0,0.0,0.0,6.0,5.0,5.0,12.0,0.0,9.4,-0.8,-3.12,Graduate
1.0,44.0,1.0,9147.0,1.0,3.0,120.0,1.0,38.0,38.0,0.0,0.0,114.1,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,5.0,5.0,4.0,10.25,0.0,0.0,5.0,5.0,4.0,10.75,0.0,9.4,-0.8,-3.12,Graduate
1.0,1.0,3.0,9085.0,1.0,1.0,145.0,1.0,3.0,1.0,9.0,9.0,137.2,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,7.0,4.0,11.25,0.0,0.0,6.0,8.0,5.0,13.0,0.0,10.8,1.4,1.74,Enrolled
1.0,1.0,1.0,9070.0,1.0,1.0,123.0,1.0,1.0,1.0,4.0,4.0,121.3,1.0,0.0,0.0,1.0,1.0,1.0,22.0,0.0,0.0,6.0,6.0,6.0,12.0,0.0,0.0,6.0,6.0,6.0,11.0,0.0,10.8,1.4,1.74,Dropout
1.0,17.0,1.0,9147.0,1.0,1.0,140.0,1.0,19.0,38.0,9.0,9.0,140.0,1.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,6.0,8.0,6.0,12.6666666666666,0.0,0.0,6.0,6.0,6.0,13.0,0.0,11.1,0.5,2.02,Graduate
