MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
5.0677,17.0,6.6,1.0,2516.0,2.888888888888889,38.01,-122.05,2.242
3.4286,37.0,4.754901960784314,0.9264705882352942,1894.0,5.423584905660377,34.03,-117.99,1.0
2.9952,37.0,4.638297872340425,1.0,945.0,3.5555555555555554,37.68,-122.08,1.673
6.3767,15.0,5.791788856304985,0.9830508474576272,1226.0,2.6341538461538465,38.66,-121.32,2.152
5.3922,34.0,6.326801815834767,1.0093167701863386,1768.0,3.0672268907563027,34.18,-118.53,2.294
2.5562,12.0,4.59593023255814,1.0030452914798207,1551.0,3.188824662813103,37.37,-120.08,1.137
2.1538,32.0,5.481012658227848,1.0044247787610618,1349.0,2.8164556962025316,36.1,-120.15,0.983
3.3616,52.0,4.141501103752759,1.0789473684210527,1034.0,2.16096018735363,34.1,-118.26,3.158
1.2813,16.0,3.9339407744874717,0.9924812030075187,722.0,4.637931034482759,36.32,-119.31,0.571
2.9063,47.0,5.822368421052632,1.0,1092.0,2.867105263157894,34.03,-118.31,1.083
3.6473,28.0,4.7,1.0,1042.0,2.946236559139785,33.85,-118.18,1.528
2.9148,19.0,5.488888888888889,1.0666666666666667,546.0,2.6777777777777776,39.41,-120.41,0.887
3.6607,13.0,4.743190661478599,1.0833333333333333,873.0,2.8613095238095236,37.27,-121.8,1.85
2.9083,36.0,3.957627118644067,1.064406779661017,891.0,2.942372881355932,34.1,-118.18,1.982
2.5833,45.0,4.3828125,1.028125,1272.0,3.590625,34.03,-118.31,1.513
9.3432,52.0,8.12133072407045,1.059748427672956,1278.0,3.058472553699284,34.13,-118.17,5.00001
4.55,29.0,5.958525345622119,1.0784313725490196,1556.0,2.859437751004016,37.65,-122.0,1.944
3.5052,28.0,4.633554083885209,1.0662650602409638,3456.0,2.8135593220338984,34.03,-118.02,1.824
2.3,52.0,5.835294117647059,1.0048543689320388,726.0,2.749303621169916,38.02,-121.27,0.963
2.6354,34.0,2.822274881516588,1.037783359490565,1697.0,2.707910750507099,34.17,-118.27,1.757
6.9184,44.0,6.7696969696969695,1.0618181818181818,719.0,2.772727272727273,37.38,-122.12,5.00001
2.9222,15.0,5.094433399602385,1.0,816.0,3.0762463343108504,38.84,-121.11,0.915
5.0246,46.0,6.11494252873563,0.9913793103448276,692.0,2.410344827586207,37.92,-122.52,4.933
6.6345,27.0,7.90625,0.9262295081967213,949.0,2.91143375681287,34.17,-118.57,4.167
2.7557,52.0,3.845878136200717,1.181467299571871,2165.0,3.9042316258351897,34.09,-118.27,2.915
5.3232,29.0,6.229427917631148,1.0372294279176313,1564.0,3.008097165991903,33.82,-118.08,2.824
2.3611,39.0,4.622291021671824,1.0359116022099448,1157.0,3.3497267759562845,37.85,-122.27,1.125
2.7876,18.0,4.7924528301886795,1.0598591549295777,1141.0,2.5392670157068062,38.75,-121.3,1.964
7.6454,38.0,7.027027027027027,1.0057100571005801,1536.0,3.056596106596107,37.4,-122.15,3.312
3.8173,19.0,5.865800865800865,1.3393162393162394,735.0,1.639741518578352,38.02,-122.19,1.417
3.2672,32.0,4.965014577259475,0.9974293059125964,1693.0,3.59882005899705,34.13,-117.92,1.556
3.6389,17.0,5.512027494163424,1.058988764044944,730.0,2.9421487603305785,37.76,-122.45,2.086
7.8118,6.0,7.261616763007986,1.0677966101694916,3199.0,2.664673913043478,37.74,-121.99,3.543
3.2969,15.0,5.03921568627451,1.0,904.0,2.4686274509803923,38.66,-121.32,0.879
6.1359,22.0,6.945169712793715,1.0,1293.0,2.812299465240642,37.53,-122.26,2.62
6.1277,13.0,6.75,1.0920245398773005,1226.0,3.2558575445173386,33.62,-117.9,3.136
3.95,52.0,4.955555555555556,1.0427807486631016,467.0,2.8979591836734695,34.11,-118.23,1.922
5.5,26.0,5.872164948453608,1.0643776824034334,1390.0,2.381443298969072,33.82,-117.97,1.911
6.8407,26.0,7.564245810055866,1.0794701986754967,584.0,2.7649616368286445,37.97,-122.26,3.7
4.25,18.0,5.964200477326969,1.0346975088967971,590.0,2.8446601941747574,38.68,-121.77,1.954
2.5,23.0,4.995780595084077,1.1895238095238094,1629.0,2.8095238095238093,33.79,-116.96,1.192
2.5804,39.0,4.955223880597016,0.9850746268656716,1064.0,3.2925373134328355,33.97,-118.29,1.673
2.2813,34.0,4.844106463878326,0.9779005524861878,1425.0,3.4244604316546274,36.34,-119.66,0.702
5.1708,22.0,6.085106382978723,1.0,821.0,2.9554140127388435,37.4,-122.09,3.412
2.9,38.0,4.293413173652695,1.037328094302554,1815.0,4.8290105667627286,37.3,-121.9,1.265
