RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,71.0,163.0,9.0,84.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,1.0,13.0,0.0,1.0,1.0,28.0,-8.0,8.0,1.0,2.0,82.0
Bad,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Good,75.0,198.0,14.0,94.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,36.0,0.0,0.0,0.0,31.0,-8.0,1.0,1.0,1.0,100.0
Good,82.0,132.0,12.0,67.0,15.0,2.0,1.0,94.0,29.0,6.0,2.0,16.0,0.0,40.0,0.0,0.0,0.0,2.0,-8.0,1.0,1.0,0.0,11.0
Bad,72.0,154.0,10.0,77.0,8.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.0,1.0,13.0,0.0,0.0,0.0,78.0,-8.0,9.0,-8.0,1.0,100.0
Bad,60.0,-8.0,2.0,74.0,5.0,1.0,1.0,73.0,15.0,0.0,6.0,0.0,1.0,20.0,0.0,4.0,4.0,48.0,-8.0,1.0,-8.0,0.0,50.0
Good,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Good,73.0,-8.0,13.0,102.0,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,-8.0,0.0,33.0,0.0,2.0,2.0,42.0,-8.0,5.0,2.0,1.0,75.0
Bad,85.0,166.0,2.0,64.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,2.0,55.0,7.0,1.0,1.0,0.0,82.0,3.0,2.0,0.0,71.0
Bad,82.0,263.0,17.0,104.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,0.0,7.0,0.0,1.0,1.0,24.0,-8.0,7.0,1.0,1.0,45.0
Bad,76.0,197.0,8.0,81.0,40.0,0.0,0.0,100.0,-7.0,7.0,8.0,41.0,2.0,24.0,0.0,1.0,1.0,16.0,61.0,5.0,4.0,2.0,78.0
